,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (s),efficiency
0,1,10,26.70517199,1.480529691,25.2246423,810,0.02802738
1,1,30,41.9527907,1.388418915,40.56437178,810,0.045071524
2,1,40,43.64837831,1.342586392,42.30579192,810,0.047006435
3,1,50,44.29153072,1.311945843,42.97958487,810,0.047755094
4,1,70,44.93289487,1.281357503,43.65153736,810,0.048501708
5,1,90,45.15699968,1.280145389,43.87685429,810,0.04875206
6,5,10,25.46352356,1.545447537,23.91807602,162,0.059424938
7,5,30,38.14839817,1.713004809,36.43539336,162,0.090524463
8,5,40,38.74483388,1.748353605,36.99648028,162,0.091918494
9,5,50,38.1704691,1.787330752,36.38313834,162,0.090394634
10,5,70,33.26686203,1.820521165,31.44634087,162,0.078129062
11,5,90,24.52603397,1.701832417,22.82420156,162,0.056707185
12,9,10,24.74164269,1.711700492,23.0299422,90,0.076766474
13,9,30,34.56431839,2.048905942,32.51541245,90,0.108384708
14,9,40,33.05190564,2.010597778,31.04130786,90,0.103471026
15,9,50,29.50495372,1.910968001,27.59398572,90,0.091979952
16,9,70,21.35824896,1.650727718,19.70752125,90,0.065691737
17,9,90,15.94748784,1.457095901,14.49039194,90,0.048301306
18,11,10,24.51389433,1.804950068,22.70894426,74,0.083479739
19,11,30,31.38425701,2.116882094,29.26737491,74,0.10758901
20,11,40,27.95155955,2.055039135,25.89652041,74,0.095197502
21,11,50,23.96654594,2.045464437,21.9210815,74,0.080583498
22,11,70,16.64598516,2.032081885,14.61390328,74,0.053721777
23,11,90,10.63848773,1.874067929,8.764419802,74,0.032218648
24,15,10,23.55843569,2.02679597,21.53163972,54,0.092657424
25,15,30,30.36647165,2.421610579,27.94486107,54,0.120255535
26,15,40,28.63384439,2.346902686,26.28694171,54,0.113120986
27,15,50,25.7821744,2.22635046,23.55582394,54,0.101368126
28,15,70,19.40302284,1.910170078,17.49285277,54,0.075277253
29,15,90,14.20862753,1.670347611,12.53827992,54,0.053956166
30,20,10,22.84617273,2.278199548,20.56797318,41,0.101577979
31,20,30,27.99377059,2.690960744,25.30280984,41,0.124961671
32,20,40,25.36170656,2.523976232,22.83773032,41,0.112787511
33,20,50,22.09488084,2.316134344,19.77874649,41,0.097680266
34,20,70,15.90212419,1.893404923,14.00871927,41,0.069184133
35,20,90,11.66452977,1.630577238,10.03395254,41,0.049554159
36,25,10,21.8796297,2.529449114,19.35018059,33,3.368434079
37,25,30,25.14762454,2.810475835,22.33714871,33,3.888398488
38,25,40,22.4512903,2.596602591,19.85468771,33,3.456257497
39,25,50,19.26451479,2.321912392,16.9426024,33,2.949328511
40,25,70,13.78468924,1.860907962,11.92378128,33,2.075663895
41,25,90,10.02780883,1.597732759,8.430076073,33,1.467487882
42,30,10,21.23549921,2.793687643,18.44181157,27,3.549128291
43,30,30,22.90060811,2.92970389,19.97090422,27,3.843402309
44,30,40,20.02319192,2.65386484,17.36932708,27,3.342728554
45,30,50,16.95852173,2.343843637,14.6146781,27,2.812596111
46,30,70,12.34553341,1.896904086,10.44862932,27,2.010839651
47,30,90,8.751622039,1.578717598,7.172904441,27,1.380426103
