,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (s),efficiency
0,1,10,26.58622479000804,1.4655424588984247,0.8729080289850216,810.0,0.0009698978099833574
1,1,30,42.14434671646967,1.3939089723960576,0.7792399553338846,810.0,0.0008658221725932051
2,1,40,43.64842237272461,1.341208704725756,0.6523974070918751,810.0,0.0007248860078798613
3,1,50,44.36654114893552,1.3125678858504914,0.5666466988088679,810.0,0.0006296074431209643
4,1,70,44.87277619647254,1.2808624103888067,0.4751357423510508,810.0,0.0005279286026122786
5,1,90,44.985403717918345,1.273958483431009,0.45150911227190066,810.0,0.000501676791413223
6,3,10,26.301629215397632,1.5050953939915164,0.8594579650867065,270.0,0.0016540276249999266
7,3,30,40.138087485434724,1.5350842212497844,0.7790909814593393,270.0,0.0014993612928958643
8,3,40,41.39289042576931,1.5318006807952016,0.6990856822759985,270.0,0.0013453910228288697
9,3,50,41.706934039597854,1.542879773688756,0.6594709039596208,270.0,0.0012691523464127097
10,3,70,40.9704150877811,1.576945782073239,0.672784340485685,270.0,0.0012947740669532503
11,3,90,38.730593800407874,1.635253984676777,0.7673889356872766,270.0,0.0014768406953072986
12,5,10,25.69650800571153,1.541940126081009,0.8230565179118599,162.0,0.002044900359305769
13,5,30,38.4490466214624,1.7268191027847897,0.7842124324832875,162.0,0.0019483914531478834
14,5,40,38.84634053324326,1.7503789128034613,0.7208925374795642,162.0,0.0017910719091962447
15,5,50,38.095196250101175,1.7862323020862094,0.6964782277024767,162.0,0.001730414068879239
16,5,70,33.50716158541172,1.833090785257845,0.6583819904631789,162.0,0.0016357632064858737
17,5,90,24.420455854897426,1.6963709591818585,0.47850200414819316,162.0,0.001188847787383607
18,7,10,25.174232413584612,1.6148221001574665,0.7973075394066674,116.0,0.002340975541555557
19,7,30,36.189443510828596,1.863350113948836,0.7531280655558285,116.0,0.0022112601398918876
20,7,40,35.863397450692126,1.8592446952581632,0.7086266424599259,116.0,0.002080599462696425
21,7,50,34.54909657387677,1.85157676729121,0.7013575856475297,116.0,0.0020592567770112242
22,7,70,29.96420424246003,1.8114278921375824,0.701157002581539,116.0,0.0020586678448510144
23,7,90,24.40942195209825,1.7305566599377,0.6520795420620866,116.0,0.001914571459153729
24,9,10,24.842525967543523,1.7204647688674841,0.7766924154771018,90.0,0.002588974718257006
25,9,30,34.32016626622551,2.0331329251762336,0.7329625284443705,90.0,0.0024432084281479018
26,9,40,33.07032026755755,2.0170578819466916,0.6864502263708044,90.0,0.0022881674212360146
27,9,50,29.50281799619949,1.9098374453625826,0.6084828476423473,90.0,0.0020282761588078244
28,9,70,21.332230287793756,1.6444574464906283,0.43966900063320596,90.0,0.0014655633354440198
29,9,90,15.908548208883113,1.4537035735523554,0.3416232159271429,90.0,0.0011387440530904764
