,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (s),efficiency
0,1,10,26.87545161,1.457966626,25.41748499,810000,0.02824165
1,1,20,38.89935383,1.451461149,37.44789268,810000,0.04160877
2,1,30,42.93494721,1.381545992,41.55340121,810000,0.046170446
3,1,40,44.47956006,1.328719326,43.15084073,810000,0.047945379
4,1,50,45.15097529,1.293607425,43.85736786,810000,0.048730409
5,1,60,45.47290281,1.271149608,44.2017532,810000,0.049113059
6,1,70,45.5900948,1.255489393,44.33460541,810000,0.049260673
7,1,80,45.84154247,1.252598038,44.58894443,810000,0.049543272
8,1,90,45.78641553,1.248820334,44.5375952,810000,0.049486217
9,5,10,26.42713536,1.540551318,24.88658405,162000,0.061831215
10,5,20,36.33501658,1.647941442,34.68707514,162000,0.086180731
11,5,30,39.18813755,1.680690912,37.50744664,162000,0.093188
12,5,40,39.61284364,1.717654318,37.89518932,162000,0.094151355
13,5,50,38.97220665,1.770461329,37.20174532,162000,0.092428479
14,5,60,36.9625997,1.811156545,35.15144316,162000,0.087334463
15,5,70,33.76398181,1.829166253,31.93481556,162000,0.079342687
16,5,80,29.33096035,1.797244034,27.53371631,162000,0.068408068
17,5,90,24.74971747,1.721459491,23.02825798,162000,0.057214167
18,9,10,25.37722296,1.678734787,23.69848818,90000,0.078994961
19,9,20,33.97481175,1.932494969,32.04231678,90000,0.106807723
20,9,30,35.06914509,1.992295367,33.07684973,90000,0.110256166
21,9,40,33.2494752,1.979344442,31.27013076,90000,0.104233769
22,9,50,29.32227298,1.895674251,27.42659873,90000,0.091421996
23,9,60,24.74977786,1.768454946,22.98132292,90000,0.07660441
24,9,70,20.76357588,1.636542474,19.12703341,90000,0.063756778
25,9,80,17.76468656,1.53200941,16.23267715,90000,0.054108924
26,9,90,15.472378,1.448447332,14.02393066,90000,0.046746436
27,11,10,25.04861419,1.765641199,23.28297299,74000,0.085589911
28,11,20,32.65013531,2.055034923,30.59510039,74000,0.112469826
29,11,30,31.79010775,2.06951209,29.72059566,74000,0.109255083
30,11,40,28.303376,2.04927951,26.25409649,74000,0.096511978
31,11,50,24.02165072,2.045608229,21.97604249,74000,0.080785539
32,11,60,20.15077194,2.058019527,18.09275241,74000,0.066510281
33,11,70,16.41138597,2.016165146,14.39522083,74000,0.052917884
34,11,80,13.38815771,1.970996156,11.41716155,74000,0.041970321
35,11,90,10.61737291,1.87436248,8.743010426,74000,0.032139946
36,15,10,24.25538911,1.937725756,22.31766335,54000,0.096039932
37,15,20,30.48902988,2.297260796,28.19176908,54000,0.121318058
38,15,30,30.92035488,2.39050375,28.52985113,54000,0.122772931
39,15,40,28.81020207,2.349441398,26.46076067,54000,0.113868984
40,15,50,26.05134993,2.26371001,23.78763992,54000,0.102365704
41,15,60,22.41177793,2.084492028,20.3272859,54000,0.087474711
42,15,70,19.52948387,1.955032081,17.57445179,54000,0.075628399
43,15,80,16.76990784,1.822506445,14.94740139,54000,0.064323374
44,15,90,14.11888236,1.687556005,12.43132635,54000,0.053495911
45,20,10,23.4489843,2.19347964,21.2555047,41000,0.10497346
46,20,20,28.7489005,2.61573748,26.133163,41000,0.12906249
47,20,30,28.3795844,2.68381533,25.6957691,41000,0.12690236
48,20,40,25.6494643,2.57921523,23.070249,41000,0.11393584
49,20,50,22.0345834,2.35627881,19.6783046,41000,0.09718422
50,20,60,18.7783067,2.13734373,16.640963,41000,0.08218386
51,20,70,15.8331204,1.92605682,13.9070636,41000,0.06868209
52,20,80,13.4374035,1.76066946,11.6767341,41000,0.05766728
53,20,90,11.3767111,1.63236526,9.74434585,41000,0.04812389
54,25,10,22.4364324,2.41375699,20.0226754,33000,0.1102212
55,25,20,26.818255,2.85489871,23.9633563,33000,0.13191393
56,25,30,25.6444965,2.84592381,22.7985727,33000,0.12550201
57,25,40,22.4826394,2.6361465,19.8464929,33000,0.10925135
58,25,50,19.3616626,2.39219506,16.9694675,33000,0.09341384
59,25,60,16.4640507,2.14557842,14.3184723,33000,0.0788206
60,25,70,13.8748666,1.92797008,11.9468965,33000,0.0657655
61,25,80,11.8279242,1.76254073,10.0653835,33000,0.05540811
62,25,90,9.93165621,1.61708416,8.31457205,33000,0.04577021
63,30,10,21.8838788,2.67492276,19.2089561,27000,0.11690198
64,30,20,24.9272778,3.06731325,21.8599646,27000,0.13303551
65,30,30,23.1581338,2.9795152,20.1786186,27000,0.12280316
66,30,40,20.1310923,2.73120256,17.3998898,27000,0.10589236
67,30,50,17.0248541,2.42167171,14.6031824,27000,0.08887214
68,30,60,14.4271993,2.15553634,12.2716629,27000,0.07468296
69,30,70,12.1733756,1.92372364,10.249652,27000,0.0623774
70,30,80,10.3839391,1.76634356,8.61759552,27000,0.05244502
71,30,90,8.7800315,1.62618198,7.15384952,27000,0.04353694
72,40,10,20.4582938,3.06378003,17.3945137,21000,0.12003355
73,40,20,22.3248073,3.37045183,18.9543554,21000,0.13079748
74,40,30,20.0845322,3.1544186,16.9301136,21000,0.11682888
75,40,40,16.9645599,2.77315678,14.1914031,21000,0.09792999
76,40,50,14.0376468,2.39069897,11.6469479,21000,0.08037158
77,40,60,11.865736,2.12400166,9.74173431,21000,0.06722435
78,40,70,9.91303314,1.88572452,8.02730862,21000,0.05539369
79,40,80,8.44813823,1.71507407,6.73306417,21000,0.04646256
80,40,90,7.24840588,1.59809412,5.65031176,21000,0.03899086
