,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency
0,1,10,20.75616778,1.419501864,19.33666591,13.5,0.679421185
1,1,20,33.46087027,1.480473567,31.9803967,13.5,1.123676601
2,1,30,39.41951723,1.439040407,37.98047682,13.5,1.334497926
3,1,40,42.27950172,1.39310047,40.88640125,13.5,1.436601703
4,1,50,43.70786365,1.363357207,42.34450645,13.5,1.487834297
5,1,60,44.38276732,1.33106823,43.05169909,13.5,1.512682514
6,1,70,44.78838086,1.311868752,43.4765121,13.5,1.527608922
7,1,80,44.91821447,1.300115644,43.61809882,13.5,1.532583772
8,1,90,44.94500823,1.296646574,43.64836165,13.5,1.5336471
9,5,10,20.67930427,1.435576408,19.24372787,2.7,1.511930052
10,5,20,32.61622216,1.511829095,31.10439307,2.7,2.443791918
11,5,30,38.02818816,1.539258487,36.48892968,2.7,2.866841068
12,5,40,39.49289061,1.565019921,37.92787069,2.7,2.979894951
13,5,50,38.52765105,1.592673499,36.93497755,2.7,2.901885899
14,5,60,35.79922072,1.63031322,34.1689075,2.7,2.684562911
15,5,70,31.842355,1.639923367,30.20243164,2.7,2.372927135
16,5,80,27.28503577,1.629877847,25.65515792,2.7,2.015659571
17,5,90,22.5109013,1.571287211,20.93961408,2.7,1.645171457
18,9,10,20.52996468,1.482568001,19.04739668,1.5,2.0077719
19,9,20,31.68098496,1.67180724,30.00917772,1.5,3.163245077
20,9,30,35.2299016,1.779153516,33.45074809,1.5,3.526018446
21,9,40,33.64836695,1.802200078,31.84616687,1.5,3.356880736
22,9,50,28.97748446,1.73586337,27.24162108,1.5,2.871518993
23,9,60,24.06081911,1.652464766,22.40835434,1.5,2.362047944
24,9,70,19.7787427,1.552657198,18.2260855,1.5,1.9211981
25,9,80,16.7083839,1.472309786,15.23607412,1.5,1.606023227
26,9,90,14.18467278,1.400794856,12.78387793,1.5,1.347539053
27,11,10,20.16839049,1.502971249,18.66541924,1.23,2.169810913
28,11,20,30.83941807,1.770128302,29.06928977,1.23,3.379236296
29,11,30,31.97246196,1.865160024,30.10730193,1.23,3.499902759
30,11,40,27.92803828,1.860927464,26.06711082,1.23,3.030240081
31,11,50,22.8341942,1.847133643,20.98706056,1.23,2.439696234
32,11,60,18.43449278,1.827627202,16.60686557,1.23,1.93050891
33,11,70,14.75355798,1.779735466,12.97382252,1.23,1.508176233
34,11,80,11.92980625,1.741944914,10.18786134,1.23,1.184314825
35,11,90,9.583916068,1.692300812,7.891615257,1.23,0.917381639
36,15,10,20.03574991,1.630376402,18.40537351,0.9,2.50465409
37,15,20,29.65899907,1.974053821,27.68494525,0.9,3.767443857
38,15,30,31.19075531,2.110293732,29.08046157,0.9,3.957349574
39,15,40,28.19562312,2.047950138,26.14767298,0.9,3.558247598
40,15,50,23.38181559,1.872772164,21.50904342,0.9,2.927010069
41,15,60,19.47517105,1.742592288,17.73257876,0.9,2.413098322
42,15,70,16.20669459,1.621546072,14.58514852,0.9,1.984787317
43,15,80,13.50582659,1.53225145,11.97357514,0.9,1.629397194
44,15,90,11.24513035,1.437548272,9.807582082,0.9,1.334642873
45,20,10,19.71597327,1.75834253,17.95763074,0.68,2.804510747
46,20,20,28.39669377,2.263223529,26.13347024,0.68,4.081362358
47,20,30,27.76945243,2.31242856,25.45702387,0.68,3.975719184
48,20,40,23.51248047,2.147490731,21.36498974,0.68,3.33665082
49,20,50,19.20246642,1.930698154,17.27176827,0.68,2.697397025
50,20,60,15.57965128,1.734551962,13.84509932,0.68,2.162241245
51,20,70,12.7908622,1.583128017,11.20773418,0.68,1.75035401
52,20,80,10.78433923,1.501268605,9.283070624,0.68,1.449772061
53,20,90,9.050647185,1.420809087,7.629838097,0.68,1.191580518
54,25,10,19.36672246,1.927980799,17.43874166,0.55,3.035695271
55,25,20,26.59679671,2.491577462,24.10521925,0.55,4.196180063
56,25,30,24.89703004,2.476446566,22.42058348,0.55,3.902922617
57,25,40,20.24191422,2.196500668,18.04541356,0.55,3.141303292
58,25,50,16.29012648,1.935686526,14.35443996,0.55,2.498787261
59,25,60,13.21057382,1.724053713,11.48652011,0.55,1.999546495
60,25,70,11.01153026,1.591348948,9.420181309,0.55,1.639843081
61,25,80,9.096891393,1.480049094,7.616842299,0.55,1.325922053
62,25,90,7.758125454,1.419652387,6.338473066,0.55,1.103386534
63,30,10,18.91427484,2.116684562,16.79759028,0.45,3.232697756
64,30,20,25.02811912,2.721187139,22.30693198,0.45,4.292971061
65,30,30,22.17008451,2.572532115,19.59755239,0.45,3.771550717
66,30,40,17.64971527,2.233654906,15.41606036,0.45,2.9668222
67,30,50,14.08039151,1.935835876,12.14455563,0.45,2.337220821
68,30,60,11.50618128,1.740551309,9.765629967,0.45,1.879396363
69,30,70,9.475271428,1.573449455,7.901821973,0.45,1.520706348
70,30,80,7.983386942,1.475330485,6.508056457,0.45,1.252476049
71,30,90,6.695911401,1.398609957,5.297301444,0.45,1.019466138
72,40,10,18.63484858,2.48146174,16.15338684,0.35,3.524957996
73,40,20,22.19897344,2.980471501,19.21850194,0.35,4.193820946
74,40,30,18.32982529,2.629385514,15.70043978,0.35,3.426116844
75,40,40,14.44844274,2.237950494,12.21049225,0.35,2.664547857
76,40,50,11.48617252,1.920057009,9.566115512,0.35,2.087497545
77,40,60,9.490674478,1.738944734,7.751729744,0.35,1.69156611
78,40,70,7.790997572,1.558576624,6.232420948,0.35,1.36002575
79,40,80,6.522413645,1.455313693,5.067099952,0.35,1.105731861
80,40,90,5.512452292,1.377666208,4.134786085,0.35,0.902284296
