,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency
0,20,10,23.55117359604411,2.1922211571964345,21.358952438847673,0.68,3.3357079523746584
1,20,20,28.86837873852271,2.629354716792499,26.239024021730216,0.68,4.097847089759109
2,20,30,28.2614018864107,2.672490895590194,25.588910990820505,0.68,3.9963164920691363
3,20,40,25.760006315569715,2.5831694409042116,23.176836874665504,0.68,3.6196138033950755
4,20,50,22.23340166758861,2.375721604558096,19.857680063030514,0.68,3.1012485978238473
5,20,60,18.8727100799139,2.145894849982397,16.726815229931503,0.68,2.6122896588740323
6,20,70,15.885537230482054,1.9362462586205207,13.949290971861535,0.68,2.1785132467543855
7,20,80,13.428466809372596,1.7621183379538936,11.666348471418702,0.68,1.8219775282848478
8,20,90,11.325106054596345,1.6207720992110106,9.704333955385334,0.68,1.5155623404358638
9,25,10,22.57503875204217,2.412242033146014,20.162796718896157,0.55,3.5098923903366783
10,25,20,26.68734450422005,2.8422155442270007,23.84512895999305,0.55,4.150904155316917
11,25,30,25.514131043724873,2.8336861242718943,22.68044491945298,0.55,3.948158687610691
12,25,40,22.4889756009361,2.6362244142838356,19.852751186652263,0.55,3.4559203908441245
13,25,50,19.345944634862068,2.386520518291894,16.959424116570172,0.55,2.952256796571067
14,25,60,16.2857855250602,2.1305330450873017,14.155252479972896,0.55,2.4641131711747604
15,25,70,13.899763817462608,1.9290358483052197,11.97072796915739,0.55,2.0838362649542295
16,25,80,11.759391582117974,1.758029515419675,10.001362066698299,0.55,1.7410136649350736
17,25,90,9.970978433415059,1.6176956749535543,8.353282758461505,0.55,1.4541198821281245
18,30,10,22.171239975305554,2.69281831892776,19.478421656377794,0.45,3.748623995566252
19,30,20,25.000702423639407,3.078211973893909,21.9224904497455,0.45,4.218985254155855
20,30,30,23.112873798243903,2.9785859939373966,20.134287804306506,0.45,3.87484549458592
21,30,40,20.01186978838497,2.712808843459781,17.299060944925188,0.45,3.3292058310934327
22,30,50,17.001521545339358,2.421709458634348,14.57981208670501,0.45,2.8058861443310987
23,30,60,14.382012673962057,2.1495639596474048,12.232448714314655,0.45,2.3541358526859524
24,30,70,12.244238264941476,1.9385743575877477,10.305663907353727,0.45,1.9833259436961617
25,30,80,10.357203962781439,1.757149139713206,8.600054823068232,0.45,1.6550813223813277
26,30,90,8.803267760551968,1.6249912305708825,7.178276529981086,0.45,1.3814599623007175
27,40,10,20.486187957144235,3.0659032927833443,17.420284664360892,0.35,3.801417766767247
28,40,20,22.41136159979258,3.380357839387972,19.031003760404612,0.35,4.152905489668732
29,40,30,19.98558121823224,3.13433489469955,16.85124632353269,0.35,3.6772434205683266
30,40,40,16.97136066421427,2.7733273349008885,14.198033329313382,0.35,3.0982648786230693
31,40,50,14.204378731930014,2.4191851490539857,11.78519358287603,0.35,2.5717400796779635
32,40,60,11.81900403153182,2.112947812482588,9.706056219049234,0.35,2.118035110632857
33,40,70,9.993626990161802,1.8903388710806488,8.103288119081155,0.35,1.7682824373202726
34,40,80,8.479062681392477,1.7208621345781407,6.7582005468143365,0.35,1.4747602651175546
35,40,90,7.284840595649187,1.5976605289814676,5.687180066667718,0.35,1.24104443554042
