,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency
0,20,10,19.631796459751104,1.1324828051257503,18.49931365462535,0.68,2.8891074058000985
1,20,20,27.356532712467374,1.090536687560823,26.26599602490655,0.68,4.102059408960829
2,20,30,27.69243937644213,1.0994495857414741,26.59298979070066,0.68,4.153127255479017
3,20,40,25.078650967608635,1.1242924225166706,23.954358545091967,0.68,3.741042287615489
4,20,50,21.64061561398516,1.143849917676547,20.496765696308614,0.68,3.2010570053418506
5,20,60,18.412570725673095,1.1580277837549735,17.25454294191812,0.68,2.694706880907849
6,20,70,15.532688995039662,1.147144979742736,14.385544015296924,0.68,2.246644525683044
7,20,80,13.147341539360381,1.1657418611408596,11.98159967821952,0.68,1.8712114951908545
8,20,90,11.174646847864388,1.157015642023957,10.017631205840429,0.68,1.5644911506287928
9,25,10,19.259831426810255,1.1273100793278772,18.132521347482378,0.55,3.156466812736384
10,25,20,26.151672531392222,1.1068639480475875,25.044808583344636,0.55,4.359741572047776
11,25,30,25.579780806607225,1.1042278479061982,24.475552958701027,0.55,4.2606468872702195
12,25,40,22.528149343342484,1.1155913139588176,21.412558029383664,0.55,3.727447909770465
13,25,50,19.211537484102326,1.1395189025736825,18.072018581528642,0.55,3.1459346330603215
14,25,60,16.393246695368582,1.1513734564252605,15.241873238943324,0.55,2.6532695658091336
15,25,70,13.987331830496627,1.1583150004023604,12.829016830094265,0.55,2.233245177999007
16,25,80,11.675104818982685,1.151437009970778,10.52366780901191,0.55,1.8319354242492276
17,25,90,10.027339766228392,1.164263910760215,8.863075855468177,0.55,1.5428634694774415
18,30,10,19.039806599748605,1.1465919585930004,17.893214641155605,0.45,3.443550763246314
19,30,20,24.804750074681657,1.0972706770505343,23.707479397631122,0.45,4.562506537343278
20,30,30,23.838666799265926,1.1155401796453646,22.72312661962056,0.45,4.373067756889294
21,30,40,20.829711484157524,1.1330976107164152,19.696613873441112,0.45,3.7906151073184478
22,30,50,17.50651049701706,1.1468128723988882,16.359697624618168,0.45,3.1484252758113933
23,30,60,14.836194441504103,1.1538009085518859,13.682393532952217,0.45,2.633177863136119
24,30,70,12.591756959802526,1.1590895017003378,11.432667458102186,0.45,2.2002178781635906
25,30,80,10.698056268132186,1.1686880380316929,9.529368230100495,0.45,1.8339277709518627
26,30,90,9.013761731317107,1.1690213873211908,7.844740343995916,0.45,1.5097209831095866
27,40,10,18.672963199926937,1.1577873067135052,17.51517589321343,0.35,3.8221247305293486
28,40,20,23.515353517127537,1.134597766766243,22.380755750361295,0.35,4.883881301730897
29,40,30,21.664240338861838,1.1474496904614764,20.51679064840036,0.35,4.477130769707465
30,40,40,18.378458642212777,1.155397004935196,17.22306163727758,0.35,3.7583801738911706
31,40,50,15.288300971567661,1.153296169487757,14.135004802079903,0.35,3.0845109263854975
32,40,60,12.92173499277255,1.1591450609901144,11.762589931782436,0.35,2.566807558624689
33,40,70,10.935533133900122,1.1713696417805421,9.76416349211958,0.35,2.1307151571696346
34,40,80,9.264042741647298,1.1714656195954625,8.092577122051836,0.35,1.7659451061462106
35,40,90,7.9131158679972735,1.1684109434114074,6.744704924585865,0.35,1.4718152789074357
