,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (s),efficiency
0,1,10,26.89124021,1.465815315,25.4254249,810000,0.028250472
1,1,20,38.10722554,1.457595517,36.64963003,810000,0.040721811
2,1,30,41.96948097,1.39255164,40.57692933,810000,0.045085477
3,1,40,43.60235401,1.344241447,42.25811256,810000,0.046953458
4,1,50,44.34647329,1.313023105,43.03345018,810000,0.047814945
5,1,60,44.76997209,1.295069585,43.4749025,810000,0.048305447
6,1,70,44.87071978,1.283267038,43.58745274,810000,0.048430503
7,1,80,45.12841886,1.277577452,43.85084141,810000,0.048723157
8,1,90,45.06074019,1.278479066,43.78226113,810000,0.048646957
9,5,10,25.44897962,1.526883415,23.9220962,162000,0.059434926
10,5,20,35.47750862,1.656235899,33.82127272,162000,0.084029628
11,5,30,38.30434964,1.699408919,36.60494072,162000,0.090945706
12,5,40,38.81516841,1.737493291,37.07767512,162000,0.092120224
13,5,50,38.09558307,1.779500845,36.31608223,162000,0.090228032
14,5,60,36.25396426,1.815427766,34.4385365,162000,0.085563232
15,5,70,33.19346348,1.82725575,31.36620773,162000,0.07792997
16,5,80,29.07080231,1.788098023,27.28270429,162000,0.067784424
17,5,90,24.60142216,1.719166348,22.88225582,162000,0.056851422
18,9,10,24.94653719,1.690831658,23.25570553,90000,0.077519018
19,9,20,33.17971358,1.946461358,31.23325222,90000,0.104110841
20,9,30,34.57747122,2.024581635,32.55288959,90000,0.108509632
21,9,40,33.01124717,2.010114154,31.00113302,90000,0.10333711
22,9,50,29.43352012,1.924962778,27.50855734,90000,0.091695191
23,9,60,25.13993086,1.794431232,23.34549963,90000,0.077818332
24,9,70,21.30682882,1.674998867,19.63182995,90000,0.065439433
25,9,80,18.23550527,1.558005759,16.67749951,90000,0.055591665
26,9,90,15.86172938,1.469827892,14.39190149,90000,0.047973005
27,11,10,24.51872645,1.769808814,22.74891763,74000,0.083626684
28,11,20,31.68601339,2.049601468,29.63641192,74000,0.108945617
29,11,30,31.12285818,2.079683067,29.04317511,74000,0.106764835
30,11,40,27.97092557,2.067679355,25.90324621,74000,0.095222227
31,11,50,23.87571871,2.059181668,21.81653704,74000,0.080199185
32,11,60,20.16708587,2.072790681,18.09429519,74000,0.066515952
33,11,70,16.68550514,2.055864884,14.62964026,74000,0.053779627
34,11,80,13.441427,1.983704685,11.45772231,74000,0.042119425
35,11,90,10.70520799,1.897107359,8.808100628,74000,0.032379222
36,15,10,23.67842857,1.944929073,21.7334995,54000,0.093526091
37,15,20,30.27639379,2.346105799,27.93028799,54000,0.120192822
38,15,30,30.41688816,2.422995341,27.99389282,54000,0.120466534
39,15,40,28.30214282,2.369115512,25.9330273,54000,0.111597981
40,15,50,25.59816812,2.274081203,23.32408692,54000,0.100370889
41,15,60,22.53391112,2.141790125,20.392121,54000,0.087753717
42,15,70,19.39984366,1.980395743,17.41944792,54000,0.074961369
43,15,80,16.77912692,1.849652331,14.92947459,54000,0.064246229
44,15,90,14.17300397,1.710368376,12.46263559,54000,0.053630645
45,20,10,22.9393267,2.20329177,20.736035,41000,0.10240798
46,20,20,28.023278,2.6208188,25.4024592,41000,0.1254538
47,20,30,27.7532742,2.69278777,25.0604864,41000,0.12376492
48,20,40,25.0922302,2.58416054,22.5080696,41000,0.11115943
49,20,50,22.0714716,2.40547032,19.6660012,41000,0.09712346
50,20,60,18.8107921,2.18052145,16.6302707,41000,0.08213105
51,20,70,15.9021943,1.96389263,13.9383017,41000,0.06883637
52,20,80,13.5939239,1.80060324,11.7933206,41000,0.05824306
53,20,90,11.4791789,1.65627707,9.82290185,41000,0.04851185
54,25,10,21.9528362,2.4139557,19.5388805,33000,0.107558
55,25,20,26.409633,2.8883958,23.5212372,33000,0.12948015
56,25,30,25.0395566,2.85223139,22.1873252,33000,0.12213721
57,25,40,22.3252575,2.68565356,19.6396039,33000,0.10811246
58,25,50,19.2116975,2.43030463,16.7813929,33000,0.09237853
59,25,60,16.3877751,2.18315719,14.2046179,33000,0.07819385
60,25,70,14.0114488,1.97880598,12.0326428,33000,0.06623752
61,25,80,11.7652116,1.78116897,9.98404264,33000,0.05496035
62,25,90,9.92873544,1.6309815,8.29775394,33000,0.04567763
63,30,10,21.3595846,2.67858844,18.6809962,27000,0.11368892
64,30,20,24.5044042,3.09107901,21.4133252,27000,0.13031735
65,30,30,22.6192848,2.98307151,19.6362133,27000,0.11950219
66,30,40,19.8928163,2.76112579,17.1316905,27000,0.10426015
67,30,50,16.8043981,2.44086872,14.3635293,27000,0.08741366
68,30,60,14.4004846,2.19473275,12.2057518,27000,0.07428184
69,30,70,12.2529959,1.97003749,10.2829584,27000,0.06258009
70,30,80,10.3991877,1.78921672,8.60997098,27000,0.05239861
71,30,90,8.76880746,1.63370671,7.13510075,27000,0.04342284
72,40,10,20.0055701,3.08223016,16.92334,21000,0.11678214
73,40,20,22.0525296,3.40914066,18.6433889,21000,0.12865161
74,40,30,19.7250962,3.16819367,16.5569025,21000,0.11425348
75,40,40,16.7651853,2.79938417,13.9658011,21000,0.09637318
76,40,50,13.9994411,2.43362711,11.565814,21000,0.0798117
77,40,60,11.8139663,2.15079208,9.66317419,21000,0.06668224
78,40,70,9.96612305,1.91488611,8.05123694,21000,0.05555881
79,40,80,8.47926292,1.74421202,6.7350509,21000,0.04647627
80,40,90,7.33034674,1.62302751,5.70731923,21000,0.03938424
