,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency,asr
0,1,10,20.89011518,1.113305196,19.77680998,13.5,0.694886271,0.034145772
1,1,20,33.7733814,0.970014697,32.80336671,13.5,1.152592819,0.017470842
2,1,30,39.7955948,0.833784688,38.96181011,13.5,1.368978463,0.012749463
3,1,40,42.62033367,0.749699249,41.87063442,13.5,1.471184132,0.01002039
4,1,50,43.95378443,0.684012444,43.26977199,13.5,1.520344815,0.008873528
5,1,60,44.63791809,0.644170522,43.99374757,13.5,1.545782724,0.008088445
6,1,70,45.12529616,0.615218631,44.51007753,13.5,1.563924709,0.007781645
7,1,80,45.49222546,0.605124474,44.88710099,13.5,1.577171963,0.007589147
8,1,90,45.44353932,0.603360274,44.84017904,13.5,1.575523294,0.007377506
9,5,10,20.49518525,1.096598151,19.3985871,2.7,1.524096943,0.034482564
10,5,20,31.9908011,0.997174874,30.99362622,2.7,2.435089253,0.018989164
11,5,30,36.83510301,0.921276386,35.91382662,2.7,2.821656705,0.014656891
12,5,40,38.10575511,0.907313587,37.19844152,2.7,2.922585584,0.013514248
13,5,50,37.76091467,0.951051567,36.8098631,2.7,2.892055979,0.013868225
14,5,60,35.37988881,1.01902065,34.36086816,2.7,2.699644765,0.015045783
15,5,70,32.01108795,1.099588945,30.91149901,2.7,2.428636729,0.017981387
16,5,80,27.99072947,1.165084028,26.82564544,2.7,2.107621756,0.021758548
17,5,90,23.57693854,1.2066459,22.37029264,2.7,1.75757618,0.026217195
18,9,10,20.58067647,1.128078582,19.45259789,1.5,2.050483858,0.035073387
19,9,20,30.62727041,1.031916555,29.59535386,1.5,3.119624212,0.020384091
20,9,30,33.91446139,1.008994838,32.90546655,1.5,3.468540726,0.019116169
21,9,40,32.92576747,1.060965087,31.86480238,1.5,3.35884509,0.022939092
22,9,50,29.23314764,1.112665315,28.12048232,1.5,2.964159101,0.029131301
23,9,60,24.97595925,1.1484543,23.82750495,1.5,2.511639553,0.036685944
24,9,70,21.21009766,1.153608779,20.05648888,1.5,2.114139557,0.04595502
25,9,80,18.03839692,1.139646002,16.89875091,1.5,1.78128475,0.055392874
26,9,90,15.53049355,1.125572737,14.40492082,1.5,1.518411976,0.064808497
27,11,10,20.14879403,1.121943386,19.02685065,1.23,2.21182646,0.034793668
28,11,20,29.72583026,1.039629958,28.6862003,1.23,3.334703049,0.020776381
29,11,30,31.26193555,1.063541033,30.19839452,1.23,3.510492057,0.019953943
30,11,40,28.18896497,1.167681616,27.02128335,1.23,3.141160385,0.024195413
31,11,50,24.21072091,1.318120977,22.89259993,1.23,2.661210687,0.031334175
32,11,60,20.22902059,1.425642092,18.8033785,1.23,2.185848351,0.040435637
33,11,70,16.61181979,1.49395892,15.11786087,1.23,1.757415629,0.052800345
34,11,80,13.62516322,1.537694225,12.087469,1.23,1.405139729,0.06727619
35,11,90,11.00080715,1.538650978,9.462156173,1.23,1.099953313,0.086273643
36,15,10,20.02215722,1.129316641,18.89284058,0.9,2.570989956,0.03558514
37,15,20,28.58276641,1.059383195,27.52338322,0.9,3.745458049,0.022466159
38,15,30,30.13112283,1.03916776,29.09195507,0.9,3.958913641,0.02164096
39,15,40,28.08829509,1.064319522,27.02397556,0.9,3.677497275,0.02443893
40,15,50,24.8533091,1.104730068,23.74857904,0.9,3.231772264,0.02949285
41,15,60,21.57575423,1.137417299,20.43833693,0.9,2.781305371,0.036065652
42,15,70,18.51244775,1.153932346,17.3585154,0.9,2.362194746,0.044123564
43,15,80,15.70358533,1.166720723,14.5368646,0.9,1.978216708,0.051918198
44,15,90,13.37755188,1.174183063,12.20336882,0.9,1.660668152,0.062529283
45,20,10,19.6317965,1.13248281,18.4993137,0.68,2.88910741,0.037368379
46,20,20,27.3565327,1.09053669,26.265996,0.68,4.10205941,0.024442321
47,20,30,27.6924394,1.09944959,26.5929898,0.68,4.15312726,0.023832096
48,20,40,25.078651,1.12429242,23.9543585,0.68,3.74104229,0.029000432
49,20,50,21.6406156,1.14384992,20.4967657,0.68,3.20105701,0.037086444
50,20,60,18.4125707,1.15802778,17.2545429,0.68,2.69470688,0.045507936
51,20,70,15.532689,1.14714498,14.385544,0.68,2.24664453,0.055002705
52,20,80,13.1473415,1.16574186,11.9815997,0.68,1.8712115,0.06604147
53,20,90,11.1746468,1.15701564,10.0176312,0.68,1.56449115,0.077818196
54,25,10,19.2598314,1.12731008,18.1325213,0.55,3.15646681,0.038033936
55,25,20,26.1516725,1.10686395,25.0448086,0.55,4.35974157,0.026153107
56,25,30,25.5797808,1.10422785,24.475553,0.55,4.26064689,0.027155471
57,25,40,22.5281493,1.11559131,21.412558,0.55,3.72744791,0.033910872
58,25,50,19.2115375,1.1395189,18.0720186,0.55,3.14593463,0.040028147
59,25,60,16.3932467,1.15137346,15.2418732,0.55,2.65326957,0.050146191
60,25,70,13.9873318,1.158315,12.8290168,0.55,2.23324518,0.060177722
61,25,80,11.6751048,1.15143701,10.5236678,0.55,1.83193542,0.072515109
62,25,90,10.0273398,1.16426391,8.86307586,0.55,1.54286347,0.085244735
63,30,10,19.0398066,1.14659196,17.8932146,0.45,3.44355076,0.038090939
