,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency,asr
0,1,10,27.24844726,1.053414516,26.19503275,20.25,0.751503152,0.024168666
1,1,20,39.01298619,0.851279353,38.16170684,20.25,1.09481226,0.012845087
2,1,30,43.28697904,0.71733884,42.5696402,20.25,1.221270426,0.009175789
3,1,40,44.98773594,0.641543359,44.34619258,20.25,1.272237521,0.007708064
4,1,50,45.53147895,0.592386139,44.93909281,20.25,1.289247097,0.007019698
5,1,60,46.05393911,0.566450276,45.48748884,20.25,1.304979902,0.006551715
6,1,70,46.11939054,0.549015878,45.57037467,20.25,1.307357794,0.006391997
7,1,80,46.19295585,0.540990824,45.65196503,20.25,1.30969852,0.006336795
8,1,90,46.25477438,0.540375176,45.71439921,20.25,1.31148968,0.006282218
9,5,10,26.20996154,1.131572799,25.07838874,4.05,1.608779388,0.024970876
10,5,20,36.56817648,1.079438668,35.48873781,4.05,2.276603592,0.013654917
11,5,30,39.37611116,1.072361818,38.30374934,4.05,2.457186666,0.010955602
12,5,40,40.08082344,1.110683709,38.97013973,4.05,2.499935629,0.010561398
13,5,50,39.23293177,1.168215869,38.06471591,4.05,2.441852664,0.010962253
14,5,60,37.36691524,1.247945115,36.11897013,4.05,2.317033014,0.012361073
15,5,70,33.87180234,1.305935704,32.56586664,4.05,2.089101319,0.01498083
16,5,80,29.53655218,1.346336867,28.19021532,4.05,1.808403156,0.018650699
17,5,90,24.91566827,1.345640128,23.57002814,4.05,1.51201801,0.023206951
18,9,10,25.5108563,1.294958318,24.21589798,2.25,2.084172658,0.025092254
19,9,20,33.98313582,1.396449206,32.58668661,2.25,2.804615435,0.016249863
20,9,30,35.53459337,1.457511936,34.07708144,2.25,2.932888198,0.016571547
21,9,40,33.58276058,1.47256683,32.11019375,2.25,2.763605459,0.02158528
22,9,50,29.64209629,1.452402007,28.18969428,2.25,2.426182589,0.029197135
23,9,60,25.10605338,1.39988696,23.70616642,2.25,2.04030195,0.038518252
24,9,70,20.87547819,1.321707564,19.55377062,2.25,1.682920622,0.048829415
25,9,80,17.8383926,1.263037428,16.57535517,2.25,1.426579434,0.058681322
26,9,90,15.54332236,1.218473871,14.32484849,2.25,1.232886659,0.068117557
27,11,10,25.2151171,1.3790245,23.8360926,1.85,2.26242179,0.02518793
28,11,20,32.5015475,1.53035137,30.9711962,1.85,2.93965585,0.01616494
29,11,30,32.0237614,1.574324,30.4494374,1.85,2.8901327,0.01709071
30,11,40,28.4156781,1.6076853,26.8079928,1.85,2.54450207,0.02290059
31,11,50,24.3201638,1.68832465,22.6318392,1.85,2.14811911,0.03059154
32,11,60,20.2882541,1.75590502,18.532349,1.85,1.75901273,0.04179043
33,11,70,16.5810782,1.78497309,14.7961051,1.85,1.40438415,0.05477101
34,11,80,13.4154266,1.7739438,11.6414828,1.85,1.10496064,0.07090122
35,11,90,10.7633981,1.74353983,9.01985823,1.85,0.85612706,0.09115392
36,15,10,24.391437,1.5682095,22.8232275,1.35,2.53591416,0.02612152
37,15,20,30.964054,1.84300755,29.1210465,1.35,3.23567183,0.01764225
38,15,30,31.0148588,1.91114029,29.1037185,1.35,3.2337465,0.01809988
39,15,40,29.168519,1.91699336,27.2515256,1.35,3.02794729,0.02171368
40,15,50,25.8363569,1.84035747,23.9959994,1.35,2.66622216,0.02715352
41,15,60,22.762016,1.762258,20.999758,1.35,2.33330645,0.03506915
42,15,70,19.3545757,1.6380127,17.716563,1.35,1.968507,0.04274873
43,15,80,16.7528341,1.56323025,15.1896038,1.35,1.68773376,0.05058315
44,15,90,14.3198723,1.49573862,12.8241337,1.35,1.42490374,0.05922021
45,20,10,23.42455974,1.818888754,21.60567099,1.02,2.755054538,0.026688192
46,20,20,28.76869815,2.167633979,26.60106417,1.02,3.392043812,0.018953841
47,20,30,28.49284855,2.248997106,26.24385144,1.02,3.346493708,0.020817231
48,20,40,25.7854862,2.183879728,23.60160647,1.02,3.009566935,0.02616607
49,20,50,22.21378685,2.027482433,20.18630441,1.02,2.574063523,0.035952527
50,20,60,19.10349565,1.878169854,17.2253258,1.02,2.196493321,0.044873096
51,20,70,16.01719358,1.699106708,14.31808687,1.02,1.825775753,0.056292818
52,20,80,13.55013679,1.575638599,11.97449819,1.02,1.526932239,0.066845805
53,20,90,11.38716597,1.454066915,9.933099058,1.02,1.26662253,0.08079919
54,25,10,22.61206986,2.081614829,20.53045503,0.82,2.918071814,0.028148173
55,25,20,26.93540527,2.444602087,24.49080319,0.82,3.480971189,0.021112582
56,25,30,25.55029324,2.440753833,23.1095394,0.82,3.284646904,0.025037549
57,25,40,22.57405524,2.299593341,20.2744619,0.82,2.881686533,0.031742426
58,25,50,19.51420508,2.106877488,17.40732759,0.82,2.474169809,0.0406484
59,25,60,16.49978548,1.900818801,14.59896668,0.82,2.075006769,0.051772985
60,25,70,13.83235849,1.706772329,12.12558616,0.82,1.72345577,0.064375498
61,25,80,11.73008568,1.570215117,10.15987057,0.82,1.444061122,0.077752593
62,25,90,9.978417854,1.46762653,8.510791323,0.82,1.209671205,0.093351303
63,30,10,21.8445942,2.3300051,19.5145891,0.68,3.06642183,0.02776834
64,30,20,25.1425726,2.70082218,22.4417504,0.68,3.52638087,0.02303621
65,30,30,23.1863871,2.6328866,20.5535005,0.68,3.22967102,0.02764533
66,30,40,20.0637511,2.41106659,17.6526845,0.68,2.77385176,0.03604674
67,30,50,16.9226697,2.14374102,14.7789287,0.68,2.3222846,0.0466998
68,30,60,14.542936,1.95112387,12.5918122,0.68,1.97861239,0.05817414
69,30,70,12.3260398,1.76478679,10.561253,0.68,1.6595408,0.07295851
70,30,80,10.4061672,1.61208281,8.79408437,0.68,1.38185704,0.08938031
71,30,90,8.79646393,1.49320285,7.30326108,0.68,1.14759676,0.10658376
72,40,10,20.3471355,2.74160474,17.6055308,0.52,3.13685068,0.03162433
73,40,20,22.5993942,3.0633288,19.5360654,0.52,3.48082207,0.02748917
74,40,30,19.9516346,2.82755356,17.1240811,0.52,3.05106878,0.03583492
