,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (min),efficiency
0,1,10,26.78328474,1.455561006,25.32772374,13.5,0.8899255
1,1,20,38.92475568,1.457694254,37.46706143,13.5,1.316458348
2,1,30,42.95647904,1.378921329,41.57755771,13.5,1.460886466
3,1,40,44.39093866,1.327768267,43.06317039,13.5,1.513085575
4,1,50,45.10016068,1.289816413,43.81034426,13.5,1.539338588
5,1,60,45.44137741,1.270316965,44.17106044,13.5,1.552012863
6,1,70,45.70178064,1.255935008,44.44584563,13.5,1.56166783
7,1,80,45.80057395,1.248719459,44.55185449,13.5,1.565392602
8,1,90,45.81406282,1.250014728,44.56404809,13.5,1.565821041
9,5,10,26.21965089,1.531944523,24.68770637,2.7,1.939649398
10,5,20,36.18054467,1.643084521,34.53746015,2.7,2.713519142
11,5,30,39.24536129,1.686352027,37.55900926,2.7,2.95091446
12,5,40,39.55175167,1.715520962,37.83623071,2.7,2.972695034
13,5,50,38.85559886,1.765469255,37.09012961,2.7,2.914075796
14,5,60,36.85420191,1.805319222,35.04888269,2.7,2.753700291
15,5,70,33.67379616,1.825628702,31.84816746,2.7,2.502228353
16,5,80,29.17602664,1.781945381,27.39408126,2.7,2.152282291
17,5,90,24.67783234,1.72159028,22.95624206,2.7,1.803612715
18,9,10,25.3070086,1.673557201,23.6334514,1.5,2.491184513
19,9,20,33.88968299,1.927924959,31.96175803,1.5,3.369065113
20,9,30,35.119627,1.996542645,33.12308435,1.5,3.491479656
21,9,40,33.45649921,1.994357451,31.46214176,1.5,3.316400934
22,9,50,29.30872747,1.897582442,27.41114503,1.5,2.889388386
23,9,60,24.88374047,1.778110796,23.10562968,1.5,2.435547219
24,9,70,20.82819043,1.642291368,19.18589906,1.5,2.022371333
25,9,80,17.69852395,1.525851796,16.17267215,1.5,1.704749328
26,9,90,15.45880262,1.443745629,14.01505699,1.5,1.477316721
27,11,10,25.07566198,1.75667261,23.31898937,1.23,2.710777453
28,11,20,32.45377101,2.039875686,30.41389532,1.23,3.535543516
29,11,30,31.72164959,2.064118689,29.6575309,1.23,3.447617938
30,11,40,28.40566943,2.057867519,26.34780191,1.23,3.062869759
31,11,50,24.12930988,2.055542486,22.0737674,1.23,2.566023338
32,11,60,20.05051604,2.049331286,18.00118475,1.23,2.092595222
33,11,70,16.57815867,2.0351825,14.54297617,1.23,1.69058664
34,11,80,13.4141161,1.972814032,11.44130207,1.23,1.33002435
35,11,90,10.66454012,1.88487154,8.779668578,1.23,1.020615741
36,15,10,23.87735768,1.928144603,21.94921308,0.9,2.986909572
37,15,20,30.58446124,2.307343531,28.27711771,0.9,3.848028322
38,15,30,30.88518804,2.390164887,28.49502316,0.9,3.877681497
39,15,40,29.08193005,2.3696259,26.71230415,0.9,3.635084167
40,15,50,25.91664581,2.252257702,23.66438811,0.9,3.22031533
41,15,60,22.3643965,2.082788389,20.28160811,0.9,2.75997728
42,15,70,19.57104328,1.961206993,17.60983628,0.9,2.396395186
43,15,80,16.61544764,1.810145102,14.80530254,0.9,2.014746483
44,15,90,14.29047831,1.703199066,12.58727924,0.9,1.712911744
45,20,10,23.5511736,2.19222116,21.3589524,0.68,3.33570795
46,20,20,28.8683787,2.62935472,26.239024,0.68,4.09784709
47,20,30,28.2614019,2.6724909,25.588911,0.68,3.99631649
48,20,40,25.7600063,2.58316944,23.1768369,0.68,3.6196138
49,20,50,22.2334017,2.3757216,19.8576801,0.68,3.1012486
50,20,60,18.8727101,2.14589485,16.7268152,0.68,2.61228966
51,20,70,15.8855372,1.93624626,13.949291,0.68,2.17851325
52,20,80,13.4284668,1.76211834,11.6663485,0.68,1.82197753
53,20,90,11.3251061,1.6207721,9.70433396,0.68,1.51556234
54,25,10,22.5750388,2.41224203,20.1627967,0.55,3.50989239
55,25,20,26.6873445,2.84221554,23.845129,0.55,4.15090416
56,25,30,25.514131,2.83368612,22.6804449,0.55,3.94815869
57,25,40,22.4889756,2.63622441,19.8527512,0.55,3.45592039
58,25,50,19.3459446,2.38652052,16.9594241,0.55,2.9522568
59,25,60,16.2857855,2.13053305,14.1552525,0.55,2.46411317
60,25,70,13.8997638,1.92903585,11.970728,0.55,2.08383626
61,25,80,11.7593916,1.75802952,10.0013621,0.55,1.74101366
62,25,90,9.97097843,1.61769567,8.35328276,0.55,1.45411988
63,30,10,22.17124,2.69281832,19.4784217,0.45,3.748624
64,30,20,25.0007024,3.07821197,21.9224904,0.45,4.21898525
65,30,30,23.1128738,2.97858599,20.1342878,0.45,3.87484549
66,30,40,20.0118698,2.71280884,17.2990609,0.45,3.32920583
67,30,50,17.0015215,2.42170946,14.5798121,0.45,2.80588614
68,30,60,14.3820127,2.14956396,12.2324487,0.45,2.35413585
69,30,70,12.2442383,1.93857436,10.3056639,0.45,1.98332594
70,30,80,10.357204,1.75714914,8.60005482,0.45,1.65508132
71,30,90,8.80326776,1.62499123,7.17827653,0.45,1.38145996
72,40,10,20.486188,3.06590329,17.4202847,0.35,3.80141777
73,40,20,22.4113616,3.38035784,19.0310038,0.35,4.15290549
74,40,30,19.9855812,3.13433489,16.8512463,0.35,3.67724342
75,40,40,16.9713607,2.77332733,14.1980333,0.35,3.09826488
76,40,50,14.2043787,2.41918515,11.7851936,0.35,2.57174008
77,40,60,11.819004,2.11294781,9.70605622,0.35,2.11803511
78,40,70,9.99362699,1.89033887,8.10328812,0.35,1.76828244
79,40,80,8.47906268,1.72086213,6.75820055,0.35,1.47476027
80,40,90,7.2848406,1.59766053,5.68718007,0.35,1.24104444
